"Ticker";"Nome";"Setor";"Adm";"Cotacao";"MM200Delta";"Vol";"DY12m";"P_VP";"VALOR_EM_CAIXA";"PB_Anos"
"CXRI11";"Caixa Rio Bravo Fundo de Fundos";"Fundo De Fundos";"CAIXA ECONOMICA";97,86;71,3586406489901;0,00878241795;10,54;1,02;0,02;9,5
"VERE11";"VEREDA";"Imoveis Industriais E Logisticos";"VORTX DISTRIBUIDORA";257;NA;0,000349556666666667;7,26;0,77;6,58;13,8
"CBOP11";"Castello Branco Office Park";"Lajes Corporativas";"CREDIT SUISSE";74,62;102,90749704975;0,0062086037;7,87;0,82;0,85;12,7
"FIVN11";"Vida Nova";"Shoppings";"OLIVEIRA TRUST";3,37;76,3382726589233;0,00050450335;0;0,47;0,02;Inf
"NVHO11";"Novo Horizonte";"Hospitalar";"PLURAL S.A.";15,27;114,873418732268;0,0007617271;6,29;1,24;0,82;15,9
"BVAR11";"Brasil Varejo";"Varejo";"RIO BRAVO";100,01;NA;0,000160184;0;NA;0,73;Inf
"BCIA11";"Bradesco Carteira Imobiliária Ativa";"Fundo De Fundos";"BANCO BRADESCO";103,38;84,0659548504451;0,0534211412;8,03;0,9;3,51;12,5
"BCRI11";"Banestes Recebíveis Imobiliários";"Papeis";"BRL TRUST";113,98;109,651775780456;0,1165075282;9,18;1,06;4,65;10,9
"FPNG11";"Pedra Negra Renda Imobiliária";"Lajes Corporativas";"BR-CAPITAL DTVM";100;NA;5,01e-05;0;NA;1,03;Inf
"CARE11";"Brazilian GraveyardDeath Care";"Indefinido";"PLANNER TRUSTEE";0,56;74,2159679928125;0,00042561795;2,2;0,36;0,31;45,5
"KNIP11";"Kinea Índices de Preços";"Papeis";"INTRAG DTVM";114,52;108,060135195481;0,3393919766;8,75;1,11;15,97;11,4
"FISD11";"São Domingos";"Papeis";"RJI CORRETORA";203,32;NA;0,00020332;0;NA;0;Inf
"ALMI11";"Torre Almirante";"Lajes Corporativas";"BTG PACTUAL";1110;89,5296843080895;0,03727094175;0;0,56;2,35;Inf
"CNES11";"Cenesp";"Lajes Corporativas";"BTG PACTUAL";45,96;75,079997080524;0,003094136;6,41;0,5;5,49;15,6
"EDGA11";"Edifício Galeria";"Lajes Corporativas";"BTG PACTUAL";26,76;89,3615138072367;0,0054280532;6,4;0,34;0,55;15,6
"FAED11";"Anhanguera Educacional";"Educacional";"BTG PACTUAL";176,3;89,4244620255491;0,0161990118;8,79;0,82;1,5;11,4
"FEXC11";"BTG Pactual Fundo de CRI";"Papeis";"BTG PACTUAL";93,9;99,5471920148924;0,0240600597;8,93;0,98;13,19;11,2
"FLRP11";"Floripa Shopping";"Shoppings";"BTG PACTUAL";1294,41;98,8306669402951;0,0137102326;4,48;0,75;2,39;22,3
"HCRI11";"Hospital da Criança";"Hospitalar";"BTG PACTUAL";478,37;111,136750596101;0,01324629865;6,99;1,58;0,47;14,3
"HTMX11";"Hotel Maxinvest";"Hoteis";"BTG PACTUAL";104,2;86,7388651012139;0,04280050105;0;0,8;1,39;Inf
"JRDM11";"Shopping Jardim Sul";"Shoppings";"BTG PACTUAL";67,51;92,7274197821535;0,0060578187;1,57;0,77;2,9;63,7
"MAXR11";"Max Retail";"Varejo";"BTG PACTUAL";1830,01;98,6359250835594;0,0433072476;7,32;0,82;1,43;13,7
"NCHB11";"NCH Brasil Recebíveis Imobiliários";"Papeis";"BTG PACTUAL";99,8;NA;0,0159088725;11,62;1,08;28,52;8,6
"NSLU11";"Hospital Nossa Senhora de Lourdes";"Hospitalar";"BTG PACTUAL";276,98;104,167833692285;0,03565624065;9,14;1,3;1,89;10,9
"TRNT11";"Torre Norte";"Lajes Corporativas";"BTG PACTUAL";164,12;91,3685778266322;0,0032897474;3,45;0,79;0,28;29
"GGRC11";"GGR COVEPI";"Imoveis Industriais E Logisticos";"CM CAPITAL";130,69;98,2545151688777;0,24055099615;6,47;1,05;25,5;15,5
"CEOC11";"CEO Cyrela Commercial Properties";"Lajes Corporativas";"BTG PACTUAL";71,25;95,9891376875076;0,01463229915;8,19;0,82;2,08;12,2
"FCFL11";"Campus Faria Lima";"Educacional";"BTG PACTUAL";111;101,582732833167;0,01609043985;5,95;1,09;0,49;16,8
"OUJP11";"Ourinvest JPP";"Papeis";"FINAXIS CORRETORA";104,14;105,85250149296;0,10638644325;7,46;1;5,8;13,4
"THRA11";"BM Cyrela Thera Corporate";"Lajes Corporativas";"BTG PACTUAL";134,5;102,130189219602;0,01313390315;4,87;1,18;1,48;20,5
"KINP11";"Even Permuta Kinea";"Fundo De Desenvolvimento";"INTRAG DTVM";13,6;107,894335335741;0,0001118137;3,6;1,49;6,52;27,8
"RBRF11";"RBR Alpha Multiestratégia Real Estate";"Fundo De Fundos";"BTG PACTUAL";91,53;99,1458021154092;0,26379537595;8,45;0,98;12,81;11,8
"VISC11";"Vinci Shopping Centers";"Shoppings";"BRL TRUST";107;99,018103848281;0,33428960975;3,78;0,9;0,75;26,5
"BCFF11";"BTG Pactual Fundo de Fundos";"Fundo De Fundos";"BTG PACTUAL";86,95;100,84919358511;0,4278581164;6,48;1,03;5,92;15,4
"MALL11";"MALLS BRASIL PLURAL";"Shoppings";"GENIAL INVESTIMENTOS";94,23;102,552272194007;0,1918018245;4,74;0,89;4,57;21,1
"BZLI11";"BRAZIL REALTY";"Misto";"&#xCD;NDIGO INVESTIMENTOS";14;93,089733886044;0,0104453703;0;1,21;0,46;Inf
"XPML11";"XP Malls";"Shoppings";"BTG PACTUAL";104,09;97,9452366513851;0,53742825955;3,17;0,93;3,27;31,5
"REIT11";"SOCOPA FII";"Papeis";"SOCOPA SOCIEDADE";1102,01;NA;0,00205551792;6,66;0,87;13,55;15
